author_dim.author_key,author_dim.author_id,author_dim.author_name,author_dim.author_addr,author_dim.birthday,author_dim.status,author_dim.created_time,author_dim.updated_time,author_dim.last_mofidied,author_dim.content_type_key
3318,7341,Lâm Huệ Anh,N/A,1970-01-01 00:00:00.0,ACT,2017-03-13 08:24:36.0,2017-03-13 08:24:36.0,2017-03-21 09:59:51.0,1
3319,7356,Lâm Cách,N/A,1970-01-01 00:00:00.0,ACT,2017-03-13 15:08:33.0,2017-03-13 15:08:33.0,2017-03-21 09:59:52.0,1
3320,7367,Cống Trà,N/A,1970-01-01 00:00:00.0,ACT,2017-03-23 10:19:20.0,2017-03-23 10:19:20.0,2017-03-24 08:13:38.0,1
3321,7362,Liên Tuyết Tử Thần,N/A,1970-01-01 00:00:00.0,ACT,2017-03-22 09:22:55.0,2017-03-22 09:22:55.0,2017-03-24 08:16:38.0,1
3322,7368,Phong Lai Đích Tây Lâm,N/A,1970-01-01 00:00:00.0,ACT,2017-03-23 11:38:25.0,2017-03-23 11:38:25.0,2017-03-24 08:16:38.0,1
3323,7371,Cố Vĩ,N/A,1970-01-01 00:00:00.0,ACT,2017-03-23 11:47:00.0,2017-03-23 11:47:00.0,2017-03-24 08:19:32.0,1
3324,7373,Từ Triệu Thọ,N/A,1970-01-01 00:00:00.0,ACT,2017-03-23 14:06:48.0,2017-03-23 14:06:48.0,2017-03-27 08:11:20.0,1
3325,7374,Nam Nan,N/A,1970-01-01 00:00:00.0,ACT,2017-03-23 14:34:29.0,2017-03-23 14:34:29.0,2017-03-27 08:19:52.0,1
3326,7379,Sin Jin Hee,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 13:56:24.0,2017-03-27 13:56:24.0,2017-03-28 08:27:00.0,1
3327,7377,Jung Kyeong Hee,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 13:52:11.0,2017-03-27 13:52:11.0,2017-03-28 08:27:00.0,1
3328,7376,Lee Young Min,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 13:47:37.0,2017-03-27 13:47:37.0,2017-03-28 08:28:00.0,1
3329,7385,Jo Hyun Jin,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 14:04:13.0,2017-03-27 14:04:13.0,2017-03-28 08:28:00.0,1
3330,7383,Lee Kuem Hee,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 14:02:01.0,2017-03-27 14:02:01.0,2017-03-28 08:28:00.0,1
3331,7382,Choi Yoon Jeong,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 13:59:08.0,2017-03-27 13:59:08.0,2017-03-28 08:29:52.0,1
3332,7386,Elizabeth Verdick,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 14:34:58.0,2017-03-27 14:34:58.0,2017-03-28 08:39:52.0,1
3333,7391,Hwang Shin Jeong - Oh Jeong Taek,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 16:33:34.0,2017-03-27 16:33:34.0,2017-03-28 14:16:53.0,1
3334,7389,Jeon Min Hee,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 16:28:00.0,2017-03-27 16:28:00.0,2017-03-28 14:16:53.0,1
3335,7433,Vera Tsepilova,N/A,1970-01-01 00:00:00.0,ACT,2017-03-28 14:03:39.0,2017-03-28 14:03:39.0,2017-03-28 14:16:53.0,1
3336,7392,Kim Nam Gil - Yoo Ki Hoon,N/A,1970-01-01 00:00:00.0,ACT,2017-03-27 16:41:17.0,2017-03-27 16:41:17.0,2017-03-28 14:18:53.0,1
3337,7440,Lee Bong - Cristina Pieropan,N/A,1970-01-01 00:00:00.0,ACT,2017-03-28 14:17:32.0,2017-03-28 14:17:32.0,2017-03-28 14:19:52.0,1
3338,7449,Tạ Hồng,N/A,1970-01-01 00:00:00.0,ACT,2017-03-31 11:08:18.0,2017-03-31 11:08:18.0,2017-03-31 11:29:53.0,1
3339,7452,Cô Bát,N/A,1970-01-01 00:00:00.0,ACT,2017-03-31 15:12:34.0,2017-03-31 15:12:34.0,2017-04-05 10:26:47.0,1
3340,7457,Hoài Châm Công Chúa,N/A,1970-01-01 00:00:00.0,ACT,2017-03-31 15:28:03.0,2017-03-31 15:28:03.0,2017-04-05 10:26:47.0,1
3341,7454,Lôi Vũ,N/A,1970-01-01 00:00:00.0,ACT,2017-03-31 15:16:14.0,2017-03-31 15:16:14.0,2017-04-05 10:29:53.0,1
3342,7458,Thiển Đạm Ngữ,N/A,1970-01-01 00:00:00.0,ACT,2017-03-31 15:31:43.0,2017-04-05 11:06:01.0,2017-04-05 11:39:53.0,1
3343,7467,Mộ Dung Tuyết Thôn,N/A,1970-01-01 00:00:00.0,ACT,2017-04-04 14:29:20.0,2017-04-04 14:29:20.0,2017-04-05 17:29:53.0,1
3344,7484,Nhung Hà,N/A,1970-01-01 00:00:00.0,ACT,2017-04-07 09:39:10.0,2017-04-07 09:39:10.0,2017-04-11 08:30:59.0,1
3345,7482,Kiha,N/A,1970-01-01 00:00:00.0,ACT,2017-04-07 08:57:28.0,2017-04-07 08:57:28.0,2017-04-11 08:39:53.0,1
3346,7487,Đinh Hoàng Anh,N/A,1970-01-01 00:00:00.0,ACT,2017-04-10 11:53:24.0,2017-04-10 11:53:24.0,2017-04-12 16:03:43.0,1
3347,7488,Alan George Lafley,N/A,1970-01-01 00:00:00.0,ACT,2017-04-10 13:40:49.0,2017-04-10 13:40:49.0,2017-04-12 16:09:53.0,1
3348,7490,Brian Grazer - Charles Fishman,N/A,1970-01-01 00:00:00.0,ACT,2017-04-12 09:41:33.0,2017-04-12 09:41:33.0,2017-04-12 16:18:45.0,1
3349,7491,Phan Thế Hải,N/A,1970-01-01 00:00:00.0,ACT,2017-04-12 10:07:37.0,2017-04-12 10:07:37.0,2017-04-12 16:19:53.0,1
3350,7496,Jan Alcoe,N/A,1970-01-01 00:00:00.0,ACT,2017-04-12 16:13:28.0,2017-04-12 16:13:28.0,2017-04-12 17:19:53.0,1
3351,7499,Henry Kissinger,N/A,1970-01-01 00:00:00.0,ACT,2017-04-13 11:20:53.0,2017-04-13 11:20:53.0,2017-04-14 16:26:51.0,1
3352,7497,Jamie Holmes,N/A,1970-01-01 00:00:00.0,ACT,2017-04-13 11:00:49.0,2017-04-13 11:00:49.0,2017-04-14 16:29:53.0,1
3353,7500,Dã Tràng,N/A,1970-01-01 00:00:00.0,ACT,2017-04-14 16:28:25.0,2017-04-14 16:29:03.0,2017-04-14 16:39:53.0,1
3354,7503,Mặc Linh,N/A,1970-01-01 00:00:00.0,ACT,2017-04-14 19:57:05.0,2017-04-14 19:57:05.0,2017-04-14 20:09:53.0,1
3355,7506,Hải Lăng,N/A,1970-01-01 00:00:00.0,ACT,2017-04-17 10:32:10.0,2017-04-17 10:32:10.0,2017-04-17 14:20:16.0,1
3356,7509,Vũ Thế Thành,N/A,1970-01-01 00:00:00.0,ACT,2017-04-17 10:44:28.0,2017-04-17 10:44:28.0,2017-04-17 14:21:16.0,1
3357,7512,Quách Mai,N/A,1970-01-01 00:00:00.0,ACT,2017-04-17 11:08:57.0,2017-04-17 11:08:57.0,2017-04-17 14:21:16.0,1
3358,7514,Trình Ưng Luân,N/A,1970-01-01 00:00:00.0,ACT,2017-04-17 11:37:59.0,2017-04-17 11:37:59.0,2017-04-17 14:22:16.0,1
3359,7517,Văn Biển,N/A,1970-01-01 00:00:00.0,ACT,2017-04-17 13:46:43.0,2017-04-17 13:46:43.0,2017-04-17 14:29:54.0,1
3360,7536,Thái tuấn,N/A,1970-01-01 00:00:00.0,ACT,2017-04-17 16:09:37.0,2017-04-17 16:09:37.0,2017-04-18 09:09:54.0,1
3362,7538,Kim Định,N/A,1970-01-01 00:00:00.0,ACT,2017-04-20 11:41:05.0,2017-04-20 11:41:05.0,2017-04-21 09:58:00.0,1
3363,7542,Sái Phu,N/A,1970-01-01 00:00:00.0,ACT,2017-04-20 14:05:44.0,2017-04-20 14:05:44.0,2017-04-21 09:59:54.0,1
3364,7544,Lorenzo Angeloni,N/A,1970-01-01 00:00:00.0,ACT,2017-04-21 13:35:00.0,2017-04-21 13:35:00.0,2017-04-21 13:59:54.0,1
3365,7545,Phù thủy dưới đáy biển,N/A,1970-01-01 00:00:00.0,ACT,2017-04-21 16:40:39.0,2017-04-21 16:40:39.0,2017-04-21 16:59:54.0,1
3366,7557,Harvey Karp - Paula Spencer,N/A,1970-01-01 00:00:00.0,ACT,2017-04-25 10:17:52.0,2017-04-25 10:18:04.0,2017-04-25 11:20:24.0,1
3367,7560,Nansen Osho,N/A,1970-01-01 00:00:00.0,ACT,2017-04-25 10:59:23.0,2017-04-25 10:59:23.0,2017-04-25 11:29:55.0,1
3368,7562,Đại sư Tinh Vân,N/A,1970-01-01 00:00:00.0,ACT,2017-04-25 11:08:00.0,2017-04-25 11:08:00.0,2017-04-25 14:09:55.0,1
3369,7563,Hiroshi Kamata,N/A,1970-01-01 00:00:00.0,ACT,2017-04-26 14:57:19.0,2017-04-26 14:57:19.0,2017-04-26 16:19:03.0,1
3370,7566,Minori Kanbe,N/A,1970-01-01 00:00:00.0,ACT,2017-04-26 15:20:43.0,2017-04-26 15:20:43.0,2017-04-26 16:19:55.0,1
3371,7569,Daniel J. Siegel & Tina Payne Bryson,N/A,1970-01-01 00:00:00.0,ACT,2017-04-28 14:20:25.0,2017-04-28 14:20:25.0,2017-04-28 17:09:55.0,1
3372,7572,Tom Salonek,N/A,1970-01-01 00:00:00.0,ACT,2017-05-03 14:40:46.0,2017-05-03 14:40:46.0,2017-05-03 15:39:55.0,1
3373,7574,Trần Nhiên - Tô Tần,N/A,1970-01-01 00:00:00.0,ACT,2017-05-10 10:05:06.0,2017-05-10 10:05:06.0,2017-05-10 14:22:35.0,1
3374,7575,David J. Schwartz,N/A,1970-01-01 00:00:00.0,ACT,2017-05-11 13:57:11.0,2017-05-11 13:57:11.0,2017-05-16 09:02:35.0,1
3375,7581,Gia Linh,N/A,1970-01-01 00:00:00.0,ACT,2017-05-22 08:39:32.0,2017-05-22 08:39:32.0,2017-05-22 16:11:07.0,1
3376,7586,Ronald A. Heifetz - Marty Linsky,N/A,1970-01-01 00:00:00.0,ACT,2017-05-22 10:58:16.0,2017-05-22 10:58:16.0,2017-05-22 16:12:36.0,1
3377,7607,Hồ Sỹ Hậu,N/A,1970-01-01 00:00:00.0,ACT,2017-05-29 10:54:34.0,2017-05-29 10:54:34.0,2017-05-29 14:37:44.0,1
3378,7601,Đỗ Cao Bảo,N/A,1970-01-01 00:00:00.0,ACT,2017-05-29 10:35:47.0,2017-05-29 10:35:47.0,2017-05-29 14:42:36.0,1
3379,7613,Lý Cảnh Long,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 11:11:42.0,2017-06-05 11:11:42.0,2017-06-06 13:51:34.0,1
3380,7617,Sharon Melnick,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 13:45:25.0,2017-06-05 13:45:25.0,2017-06-06 13:51:34.0,1
3381,7625,Richie Norton - Natalie Norton,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 14:10:26.0,2017-06-05 14:10:26.0,2017-06-06 13:51:34.0,1
3382,7611,Michael Hyatt - Daniel Harkavy,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 11:06:47.0,2017-06-05 11:06:47.0,2017-06-06 13:51:35.0,1
3383,7622,Ken Robinson - Lou Aronica,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 13:52:08.0,2017-06-05 13:52:08.0,2017-06-06 13:51:36.0,1
3384,7608,Hạ Vũ,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 11:01:22.0,2017-06-05 11:01:22.0,2017-06-06 13:51:36.0,1
3385,7616,Claudia Azula Altucher,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 11:36:55.0,2017-06-05 11:36:55.0,2017-06-06 13:51:36.0,1
3386,7620,Bác sĩ Ngô Xuân Thiều - Bác sĩ Nguyễn Công Đức,N/A,1970-01-01 00:00:00.0,ACT,2017-06-05 13:49:16.0,2017-06-05 13:49:16.0,2017-06-06 13:52:38.0,1
3387,7628,Khố Kỳ Kỳ,N/A,1970-01-01 00:00:00.0,ACT,2017-06-08 10:32:45.0,2018-05-29 08:43:27.0,2018-06-14 13:50:16.0,1
3388,7631,Quốc Khánh - Thu Minh,N/A,1970-01-01 00:00:00.0,ACT,2017-06-08 14:06:51.0,2017-06-08 14:06:51.0,2017-06-09 16:32:38.0,1
3389,7634,Phùng Hiếu,N/A,1970-01-01 00:00:00.0,ACT,2017-06-12 09:24:29.0,2017-06-12 09:24:29.0,2017-06-12 17:40:47.0,1
3390,7637,Auger. Mandeno,N/A,1970-01-01 00:00:00.0,ACT,2017-06-12 09:42:56.0,2017-06-12 09:42:56.0,2017-06-12 17:40:47.0,1
3391,7643,Vương Nghệ Lộ,N/A,1970-01-01 00:00:00.0,ACT,2017-06-12 10:10:53.0,2017-06-12 10:10:53.0,2017-06-12 17:42:39.0,1
3392,7644,Colin Nicholson,N/A,1970-01-01 00:00:00.0,ACT,2017-06-19 09:14:02.0,2017-06-19 09:14:02.0,2017-06-19 14:36:04.0,1
3393,7647,David Rock,N/A,1970-01-01 00:00:00.0,ACT,2017-06-19 09:30:17.0,2017-06-19 09:30:17.0,2017-06-19 14:37:05.0,1
3394,7653,Mike Weinberg,N/A,1970-01-01 00:00:00.0,ACT,2017-06-19 10:14:38.0,2017-06-19 10:14:38.0,2017-06-19 14:37:05.0,1
3395,7650,Harry M. Jeansen Kraemer,N/A,1970-01-01 00:00:00.0,ACT,2017-06-19 09:54:11.0,2017-06-19 09:54:11.0,2017-06-19 14:38:05.0,1
3396,7655,Ben Newman,N/A,1970-01-01 00:00:00.0,ACT,2017-06-19 10:25:21.0,2017-06-19 10:25:21.0,2017-06-19 14:42:40.0,1
3397,7658,Paul Oberschneider,N/A,1970-01-01 00:00:00.0,ACT,2017-06-20 09:55:14.0,2017-06-20 09:55:14.0,2017-06-20 11:22:40.0,1
3398,7661,TS. Nguyễn Xuân Thủy,N/A,1970-01-01 00:00:00.0,ACT,2017-06-21 09:17:43.0,2017-06-21 09:17:43.0,2017-06-21 14:12:40.0,1
3399,7673,Rodd Wagner & Gale Muller,N/A,1970-01-01 00:00:00.0,ACT,2017-06-28 13:45:21.0,2017-06-28 13:45:21.0,2017-06-28 16:22:40.0,1
3400,7674,Phan Quốc Bảo,N/A,1970-01-01 00:00:00.0,ACT,2017-06-29 15:21:47.0,2017-06-29 15:21:47.0,2017-06-29 15:32:40.0,1
3401,7676,Trần Công Nghị,N/A,1970-01-01 00:00:00.0,ACT,2017-07-03 09:18:00.0,2017-07-03 09:18:00.0,2017-07-04 11:42:40.0,1
3402,7677,Romeo Rodriguez Jr,N/A,1970-01-01 00:00:00.0,ACT,2017-07-04 17:47:47.0,2017-07-04 17:47:47.0,2017-07-05 09:12:40.0,1
3403,7680,Trần Mai Hưởng,N/A,1970-01-01 00:00:00.0,ACT,2017-07-05 15:10:54.0,2017-07-05 15:10:54.0,2017-07-06 08:52:09.0,1
3404,7682,Lạc Tiểu Mỹ,N/A,1970-01-01 00:00:00.0,ACT,2017-07-05 17:39:47.0,2017-07-05 17:39:47.0,2017-07-06 08:52:40.0,1
3405,7695,BS. Trần Thị Huyên Thảo,N/A,1970-01-01 00:00:00.0,ACT,2017-07-11 09:02:53.0,2017-07-11 09:03:17.0,2017-07-11 10:05:01.0,1
3406,7701,An Khuê,N/A,1970-01-01 00:00:00.0,ACT,2017-07-11 09:45:30.0,2017-07-11 09:45:30.0,2017-07-11 10:05:01.0,1
3407,7698,Mộc Miên,N/A,1970-01-01 00:00:00.0,ACT,2017-07-11 09:33:24.0,2017-07-11 09:33:24.0,2017-07-11 10:12:41.0,1
3408,7703,Cristiane Corea,N/A,1970-01-01 00:00:00.0,ACT,2017-07-11 10:46:48.0,2017-07-11 10:46:48.0,2017-07-11 11:02:41.0,1
3409,7707,Ma Văn Kháng,N/A,1970-01-01 00:00:00.0,ACT,2017-07-17 09:04:03.0,2017-07-17 09:04:03.0,2017-07-17 16:31:09.0,1
3410,7706,Khải Đơn,N/A,1970-01-01 00:00:00.0,ACT,2017-07-17 08:57:46.0,2017-07-17 08:57:46.0,2017-07-17 16:31:09.0,1
3411,7709,J. E. Bright,N/A,1970-01-01 00:00:00.0,ACT,2017-07-17 09:13:16.0,2017-07-17 09:13:16.0,2017-07-17 16:32:09.0,1
3412,7712,Quỳnh Trâm,N/A,1970-01-01 00:00:00.0,ACT,2017-07-17 10:07:08.0,2017-07-17 10:07:08.0,2017-07-17 16:32:09.0,1
3413,7713,Hải Minh,N/A,1970-01-01 00:00:00.0,ACT,2017-07-17 10:24:53.0,2017-07-17 10:25:21.0,2017-07-17 16:32:42.0,1
3416,7719,Barbara Bossert Ramsay,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 11:34:29.0,2017-07-24 11:34:29.0,2017-07-24 17:35:33.0,1
3417,7715,Jutta Portner,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 09:05:52.0,2017-07-24 09:05:52.0,2017-07-24 17:35:33.0,1
3418,7722,Nhóm cộng tác viên hà nội,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 11:43:10.0,2017-07-24 11:43:10.0,2017-07-24 17:35:33.0,1
3419,7716,Mai Hà Uyên,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 11:16:37.0,2017-07-24 11:16:37.0,2017-07-24 17:36:33.0,1
3420,7727,Des Dearlove,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 11:58:15.0,2017-07-24 11:58:15.0,2017-07-24 17:36:33.0,1
3421,7730,Jonathan Gatlin,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 13:23:42.0,2017-07-24 13:23:52.0,2017-07-24 17:36:33.0,1
3422,7733,Alan Loy Mcginnis,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 13:37:22.0,2017-07-24 13:37:22.0,2017-07-24 17:36:33.0,1
3423,7740,Lê Khắc Hoan - Đỗ Quốc Anh,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 13:58:55.0,2017-07-24 13:58:55.0,2017-07-24 17:36:33.0,1
3424,7736,Jonathan Schell,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 13:45:19.0,2017-07-24 13:45:19.0,2017-07-24 17:36:33.0,1
3425,7725,Shiv Khera,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 11:49:41.0,2017-07-24 11:49:41.0,2017-07-24 17:36:33.0,1
3426,7731,Fabían Escalande,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 13:32:55.0,2017-07-24 13:32:55.0,2017-07-24 17:36:33.0,1
3427,7739,Brahma Kumaris,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 13:56:38.0,2017-07-24 13:56:38.0,2017-07-24 17:37:33.0,1
3428,7742,Kimura Kyuichi,N/A,1970-01-01 00:00:00.0,ACT,2017-07-24 14:09:26.0,2017-07-24 14:09:26.0,2017-07-24 17:42:43.0,1
3429,7745,Dandi Janki,N/A,1970-01-01 00:00:00.0,ACT,2017-07-31 09:14:37.0,2017-07-31 09:14:37.0,2017-07-31 16:22:50.0,1
3430,7746,Nancy Jo Sales,N/A,1970-01-01 00:00:00.0,ACT,2017-07-31 10:55:09.0,2017-07-31 10:55:09.0,2017-08-01 09:22:50.0,1
3431,7772,EZ Chinese,N/A,1970-01-01 00:00:00.0,ACT,2017-08-08 10:26:13.0,2017-08-08 10:26:13.0,2017-08-08 10:33:08.0,1
3432,7800,Phạm Uyên Minh,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 10:28:19.0,2017-08-14 10:28:19.0,2017-08-14 15:25:34.0,1
3433,7803,Hoshi Shinichi,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 10:41:19.0,2017-08-14 10:41:19.0,2017-08-14 15:25:35.0,1
3434,7802,Quỳnh Dao,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 10:35:08.0,2017-08-14 10:35:08.0,2017-08-14 15:25:35.0,1
3435,7809,Marta Dzido,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 10:45:52.0,2017-08-14 10:45:52.0,2017-08-14 15:27:35.0,1
3436,7820,Ferdinand De Saussure,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 11:40:00.0,2017-08-14 11:40:00.0,2017-08-14 15:33:50.0,1
3437,7824,Barry Schwartz,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 13:43:23.0,2017-08-14 13:43:23.0,2017-08-16 17:43:42.0,1
3438,7823,Marc Kushner,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 11:49:13.0,2017-08-14 11:49:13.0,2017-08-16 17:43:42.0,1
3439,7821,Hannah Fry,N/A,1970-01-01 00:00:00.0,ACT,2017-08-14 11:43:44.0,2017-08-14 11:43:44.0,2017-08-16 17:43:59.0,1
3440,7827,Jonas Lie,N/A,1970-01-01 00:00:00.0,ACT,2017-08-21 09:19:03.0,2017-08-21 09:19:03.0,2017-08-21 14:11:07.0,1
3441,7836,Virginia Woofl,N/A,1970-01-01 00:00:00.0,ACT,2017-08-21 10:06:58.0,2017-08-21 10:06:58.0,2017-08-21 14:11:50.0,1
3442,7842,Mori Ogai,N/A,1970-01-01 00:00:00.0,ACT,2017-08-21 11:33:34.0,2017-08-21 11:33:34.0,2017-08-21 14:21:50.0,1
3444,7851,Daniel Gilbert,N/A,1970-01-01 00:00:00.0,ACT,2017-08-28 09:25:48.0,2017-08-28 09:25:48.0,2017-08-31 09:38:49.0,1
3445,7854,Phi Tuyết,N/A,1970-01-01 00:00:00.0,ACT,2017-08-28 09:54:00.0,2017-08-28 09:54:00.0,2017-08-31 10:04:47.0,1
3446,7856,Alain Nghĩa,N/A,1970-01-01 00:00:00.0,ACT,2017-08-28 10:40:05.0,2017-08-28 10:40:05.0,2017-08-31 10:14:47.0,1
3447,7857,Kubota Kayoko,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 08:25:27.0,2017-09-05 08:25:27.0,2017-09-07 16:19:58.0,1
3448,7860,John Brooks,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 08:36:33.0,2017-09-05 08:36:33.0,2017-09-07 16:19:58.0,1
3449,7871,Zion Kabasawa,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 09:17:38.0,2017-09-05 09:17:38.0,2017-09-07 16:19:58.0,1
3450,7878,Nguyễn Xuân Trường,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 09:47:07.0,2017-09-05 09:47:07.0,2017-09-07 16:19:58.0,1
3451,7866,Vân Anh - Minh Đức,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 08:53:06.0,2017-09-05 08:53:06.0,2017-09-07 16:19:58.0,1
3452,7875,Carolyn Crowder,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 09:30:50.0,2017-09-05 09:30:50.0,2017-09-07 16:19:59.0,1
3453,7863,Kaui Hart Hemmings,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 08:45:03.0,2017-09-05 08:45:03.0,2017-09-07 16:19:59.0,1
3454,7874,Audrey Ricker,N/A,1970-01-01 00:00:00.0,ACT,2017-09-05 09:28:46.0,2017-09-05 09:28:46.0,2017-09-07 16:19:59.0,1
3456,7887,Hiromi Wada,N/A,1970-01-01 00:00:00.0,ACT,2017-09-12 15:53:33.0,2017-09-12 15:53:33.0,2017-09-13 08:34:47.0,1
3457,7889,Đỗ Mỹ Dung,N/A,1970-01-01 00:00:00.0,ACT,2017-09-13 11:34:42.0,2017-09-13 11:34:42.0,2017-09-13 13:54:47.0,1
3458,7890,Hoàng Nhã Thần Hi,N/A,1970-01-01 00:00:00.0,ACT,2017-09-15 16:24:56.0,2017-09-15 16:25:57.0,2017-09-15 17:14:48.0,1
3459,7893,Patrick King,N/A,1970-01-01 00:00:00.0,ACT,2017-09-18 10:00:35.0,2017-09-18 10:00:35.0,2017-09-19 11:54:48.0,1
3460,7895,Kim Thục Lệ,N/A,1970-01-01 00:00:00.0,ACT,2017-09-25 08:55:52.0,2017-09-25 08:55:52.0,2017-09-28 09:36:24.0,1
3461,7905,Ngọc Khánh,N/A,1970-01-01 00:00:00.0,ACT,2017-09-25 09:31:05.0,2017-09-25 09:33:55.0,2017-09-28 09:36:24.0,1
3462,7904,Ngô Thuận,N/A,1970-01-01 00:00:00.0,ACT,2017-09-25 09:23:04.0,2017-09-25 09:23:04.0,2017-09-28 09:36:24.0,1
3463,7899,Tương Lâm,N/A,1970-01-01 00:00:00.0,ACT,2017-09-25 09:09:23.0,2017-09-25 16:04:03.0,2017-09-28 09:36:24.0,1
3464,7898,Lưu Chí Văn,N/A,1970-01-01 00:00:00.0,ACT,2017-09-25 09:05:08.0,2017-09-25 09:05:08.0,2017-09-28 09:36:25.0,1
3465,7902,The Book Worm,N/A,1970-01-01 00:00:00.0,ACT,2017-09-25 09:21:52.0,2017-09-25 14:55:02.0,2017-09-28 09:44:50.0,1
3466,7908,Hằng Dino,N/A,1970-01-01 00:00:00.0,ACT,2017-10-03 10:43:33.0,2017-10-03 10:43:33.0,2017-10-16 07:47:04.0,1
3467,7916,Tom Rath - Jim Harter,N/A,1970-01-01 00:00:00.0,ACT,2017-10-09 09:07:30.0,2017-10-09 09:07:30.0,2017-10-16 10:04:58.0,1
3468,7913,Vương Học Điền,N/A,1970-01-01 00:00:00.0,ACT,2017-10-09 08:51:26.0,2017-10-09 08:51:26.0,2017-10-16 10:04:59.0,1
